,folder,id,display_name,display_name.new,description,description.new,type,units,domain,labels,calculation,commonly_used,folder.new,nsrr_label
479,Administrative,any_permit,Any permission for public use of data,Any permission for public use of data,Thi variable combines the 3 permission variables to determine whether or not a study participant gave any permission for public use of data.,Thi variable combines the 3 permission variables to determine whether or not a study participant gave any permission for public use of data.,choices,,use_permitted,,NA,NA,NA,NA
480,Administrative,center,Center,Center,This variable is the field center that was derived from the city of origin.,This variable is the field center that was derived from the city of origin.,choices,,centerid,,NA,NA,NA,NA
481,Administrative,centernum,Participant's Field Center - numeric,Participant's Field Center - numeric,This variable is the field center that was derived from the city of origin.,This variable is the field center that was derived from the city of origin.,choices,,siteid,,NA,TRUE,NA,NA
482,Administrative,commercial_permit,Permission for for-profit use of data,Permission for for-profit use of data,This variable determines whether or not a study participant gave permission for use for for-profit use of study data.,This variable determines whether or not a study participant gave permission for use for for-profit use of study data.,choices,,use_permitted,,NA,NA,NA,NA
483,Administrative,consent,Consent to Participate in HCHS\SOL Study,Consent to Participate in HCHS\SOL Study,This variable determines whether or not a study participant consented to participate in the baseline examination study.,This variable determines whether or not a study participant consented to participate in the baseline examination study.,choices,,noyes01,,NA,NA,NA,NA
484,Administrative,days_s1m1,Days between HCHS clinic visit and Sueno clinic visit,Days between HCHS clinic visit and Sueno clinic visit,,,numeric,days,,,NA,NA,NA,NA
485,Administrative,dna_available,DNA Available,DNA Available,This variable determines whether or not a study participant had blood draws successfully conducted without incidents or problems for tubes 4 and 5 to make DNA available to investigators associated or not associated to HCHS/SOL and specialized laboratories.,This variable determines whether or not a study participant had blood draws successfully conducted without incidents or problems for tubes 4 and 5 to make DNA available to investigators associated or not associated to HCHS/SOL and specialized laboratories.,choices,,noyes01,,NA,NA,NA,NA
486,Administrative,external_permit,Permission for investigators outside HCHS/SOL,Permission for investigators outside HCHS/SOL,This variable determines whether or not a study participant gave permission for use for investigators outside HCHS/SOL.,This variable determines whether or not a study participant gave permission for use for investigators outside HCHS/SOL.,choices,,use_permitted,,NA,NA,NA,NA
487,Administrative,flag_agege65,Age greater than or equal to 65 or less than 18,Age greater than or equal to 65 or less than 18,,,choices,,ageflag,,NA,NA,NA,NA
488,Administrative,flag_ahigt50,AHI greater than 50,AHI greater than 50,,,choices,,ahiflag,,NA,NA,NA,NA
489,Administrative,flag_bkgrd,Ineligible Hispanic background for site,Ineligible Hispanic background for site,,,choices,,bkgrdflag,,NA,NA,NA,NA
490,Administrative,flag_monthsgt30,Sueno visit date more than 31+ months since SOL visit,Sueno visit date more than 31+ months since SOL visit,,,choices,,monthsflag,,NA,NA,NA,NA
491,Administrative,flag_narc,Narcolepsy diagnosis,Narcolepsy diagnosis,,,choices,,narcflag,,NA,NA,NA,NA
492,Administrative,flag_osa,Treated for OSA,Treated for OSA,,,choices,,osaflag,,NA,NA,NA,NA
