folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Clinical Data/Vital Signs/Seated Blood Pressure,abi_overall,Overall Ankle Branchial Index (occlusion failure included),Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values. The overall ABI is the mean of those two measurements.,numeric,,,,,,
Clinical Data/Vital Signs/Seated Blood Pressure,abigrp_c4,4-level grouped Ankle Brachial Index (occ. failure incl.),This variable groups left and right ABI into 4 categories.,choices,,abi,,,,
Demographics/Acculturation,accult_mesa,Acculturation Score - MESA,"This is a summary acculturation score based on nativity, language spoken at home, and years of residence in the U.S. It is defined as the sum of nativity subscore and language subscore.",numeric,,,,,,
Demographics,age,Age,This is the age of the participant in years at the time of the participant's clinic visit.,numeric,years,,,,TRUE,
Demographics/Acculturation,age_immi,Age of immigration among participants who were not born in US mainland (50 US States + DC),"The age of immigration is defined as if participant was not born in the US 50 states, then the age of immigration is equal to the participant's age minus years lived in the US or if participant was born in the US 50 states, then the age of immigration is equal to missing.",numeric,years,,,,,
Demographics,age_sueno,Age at Sueno clinic visit,,numeric,years,,,,,
Demographics,age_sueno_scrn,Age at Sueno screening,,numeric,years,,,,,
Demographics,agegroup_c2,Age of the participant,This variable is the grouped age of the participant.,choices,,age_c2,,,,
Demographics,agegroup_c2_sueno,2-level Age Sub-groups at SUENO Visit,,choices,,age_c2,,,,
Demographics,agegroup_c5_sueno,5-level Age Sub-groups at SUENO Visit,,choices,,age_c5,,,,
Demographics,agegroup_c6,6-level Age Sub-groups,This variable is the grouped age of the participant.,choices,,age_c6,,,,
Demographics,agegroup_c6_nhanes,6-Level Age Groups (NHANES standardization),This variable is the grouped age of the participant. It is determined from the derived variable age for use with analyses requiring NHANES age standardization.,choices,,age_c6_nhanes,,,,
General Health/Quality of Life,agg_ment,SF-12 Health Survey: Aggregate mental health score norm-based transformed,This sub-scale score is a norm-based transformation of standardized Z scores of the constituent items for the established domains which is scaled to a mean of 50 and standard deviation of 10.,numeric,,,,,,
General Health/Quality of Life,agg_phys,SF-12 Health Survey: Aggregate physical health score norm-based transformed,This sub-scale score is a norm-based transformation of standardized Z scores of the constituent items for the established domains which is scaled to a mean of 50 and standard deviation of 10.,numeric,,,,,,
Lifestyle and Behavioral Health,ahei1,"Vegetables without potato, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei10,"Sodium, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei11,"Alcohol, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei2,"Whole fruit, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei2010,Alternative Healthy Eating Index 2010,,numeric,,,,,,
Lifestyle and Behavioral Health,ahei3,"Whole grains, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei4,"Sweetened bev & fruit juice, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei5,"Nuts & legumes, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei6,"Red/processed meat, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei7,"Trans Fat, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei8,"EPA+DHA, score",,numeric,,,,,,
Lifestyle and Behavioral Health,ahei9,"PUFA, score",,numeric,,,,,,
Sleep Questionnaires/Sleep Disorder,ahi_ge15,Sleep Apnea defined as Apnea/Hypopnea Index (3% desat) >= 15,,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,airflow_limitation,Airflow Limitation (pre FEV1/FVC<70 only),This variable is based on the empirical evidence from the spirometry that the ratio of  FEV1 to FVC is below the level defined by the ATS as indicative of restricted airflow. Defined only for valid spirometries.,choices,,noyes01,,,,
