LIBNAME,folder,MEMLABEL,TYPEMEM,id,type,LENGTH,VARNUM,display_name,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,FORM,choices,3,2,form,$,3,0,$,3,0,0,888,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,PID,identifier,8,1,Random BioLINCC ID for LAD,,0,0,,0,0,0,880,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,1,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA2,choices,3,4,Site ID (SLPA2),$,3,0,$,3,0,0,892,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA9,numeric,8,8,Hours of valid recording time - Cannula (SLPA9),,0,0,,0,0,1,24,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA10,numeric,8,9,Hours of valid recording time in supine position - Cannula (SLPA10),,0,0,,0,0,1,32,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA11,numeric,8,10,Hours of valid recording time in non-supine position - Cannula (SLPA11),,0,0,,0,0,1,40,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA12,numeric,8,11,Hours of valid recording time - SpO2 (SLPA12),,0,0,,0,0,1,48,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA13,numeric,8,12,Hours of valid recording time in supine position - SpO2 (SLPA13),,0,0,,0,0,1,56,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA14,numeric,8,13,Hours of valid recording time in non-supine position - SpO2 (SLPA14),,0,0,,0,0,1,64,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA15,choices,8,14,Overall Study Quality (SLPA15),,0,0,,0,0,1,72,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA16,choices,8,15,Urgent Referral - AHI > 50 (SLPA16),,0,0,,0,0,1,80,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA18,choices,8,16,Urgent Referral - Baseline sat < 90 (SLPA18),,0,0,,0,0,1,88,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA20,choices,8,17,Urgent Referral - sat < 90 for 10% of recording (SLPA20),,0,0,,0,0,1,96,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
SOLB,Sleep Polysomnography,"Sleep Study Records, Created in job HC086721",,SLPA22,choices,8,18,Urgent Referral - HR > 150 (SLPA22),,0,0,,0,0,1,104,13154,V9,29MAY14:18:19:28,29MAY14:18:19:28,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,NO,NO,NO,YES,0,,,YES
